
N is 16384: 

Miss : 13452, took time 88025
Miss : 13463, took time 394030
Miss : 13467, took time 289062
Miss : 13711, took time 101521
Miss : 13946, took time 97175
Miss : 14069, took time 465067
Miss : 14279, took time 102113
Miss : 14291, took time 282482
Miss : 14337, took time 95486
Miss : 14356, took time 90161
Miss : 14435, took time 257116
Miss : 14622, took time 266284
Miss : 14663, took time 81646
Miss : 14803, took time 393263
Miss : 14822, took time 85583
Miss : 14973, took time 275948
Miss : 15080, took time 297408
Miss : 15134, took time 273938
Miss : 15216, took time 78674
Miss : 15377, took time 258182
Miss : 15399, took time 388246
Miss : 15562, took time 266661
Miss : 15718, took time 119278
Miss : 15869, took time 285211
Miss : 16096, took time 91213
